S1_1,0.572,6.925,1.049
S1_2,0.518,6.45,0.655
S1_3,0.494,6.166,0.44
S1_4,0.478,5.964,0.286
S1_5,0.446,5.71,0.113
S1_6,0.422,5.445,-0.057
S1_7,0.391,5.174,-0.21
S1_8,0.362,4.912,-0.349
S1_9,0.336,4.64,-0.474
S1_10,0.289,4.07,-0.7
S1_11,0.26,3.786,-0.804
S1_12,0.24,3.493,-0.906
S1_13,0.217,3.206,-1.001
S1_14,0.195,2.917,-1.102
S1_15,0.17,2.621,-1.196
S1_16,0.149,2.33,-1.285
S1_17,0.125,2.033,-1.363
S1_18,0.099,1.735,-1.424
S1_19,0.08,1.435,-1.472
S2_1,-1.214,6.453,0.684
S2_2,-1.174,6.205,0.511
S2_3,-1.123,5.955,0.342
S2_4,-1.08,5.697,0.176
S2_5,-1.028,5.439,0.015
S2_6,-0.98,5.176,-0.142
S2_7,-0.928,4.913,-0.291
S2_8,-0.878,4.645,-0.43
S2_9,-0.825,4.375,-0.562
S2_10,-0.775,4.103,-0.687
S2_11,-0.725,3.827,-0.803
S2_12,-0.574,2.966,-1.094
S2_13,-0.473,2.38,-1.25
S3_1,-3.051,6.258,1.07
S3_2,-2.826,5.819,0.689
S3_3,-2.709,5.58,0.508
S3_4,-2.604,5.367,0.327
S3_5,-2.502,5.138,0.156
S3_6,-2.386,4.903,-0.009
S3_7,-2.269,4.663,-0.164
S3_8,-2.156,4.426,-0.311
S3_9,-2.04,4.182,-0.452
S3_10,-1.799,3.677,-0.703
S3_11,-1.677,3.417,-0.817
S3_12,-1.554,3.156,-0.922
S3_13,-1.432,2.89,-1.023
S3_14,-1.31,2.629,-1.119
S3_15,-1.177,2.365,-1.206
S3_16,-1.046,2.1,-1.282
S3_17,-0.912,1.83,-1.352
S3_18,-0.775,1.565,-1.409
S3_19,-0.64,1.292,-1.455
S4_1,-4.487,5.12,0.833
S4_2,-4.324,4.938,0.66
S4_3,-4.159,4.747,0.485
S4_4,-3.977,4.548,0.312
S4_5,-3.805,4.356,0.15
S4_6,-3.635,4.163,-0.008
S4_7,-3.465,3.975,-0.158
S4_8,-3.284,3.776,-0.305
S4_9,-3.103,3.573,-0.446
S4_10,-2.923,3.363,-0.578
S4_11,-2.741,3.16,-0.702
S4_12,-2.552,2.941,-0.818
S4_13,-2.371,2.72,-0.92
S4_14,-2.174,2.496,-1.013
S5_1,-5.788,3.845,1.007
S5_2,-5.576,3.707,0.827
S5_3,-5.37,3.576,0.647
S5_4,-5.154,3.441,0.467
S5_5,-4.934,3.304,0.293
S5_6,-4.716,3.162,0.129
S5_7,-4.496,3.019,-0.027
S5_8,-4.274,2.873,-0.177
S5_9,-4.053,2.732,-0.318
S5_10,-3.818,2.576,-0.452
S5_11,-3.595,2.428,-0.576
S5_12,-3.354,2.267,-0.694
S5_13,-3.11,2.105,-0.801
S5_14,-2.877,1.942,-0.904
S5_15,-2.64,1.779,-1.005
S5_16,-2.402,1.62,-1.101
S5_17,-2.165,1.452,-1.192
S5_18,-1.922,1.289,-1.278
S5_19,-1.671,1.12,-1.351
S5_20,-1.427,0.957,-1.414
S5_21,-1.177,0.787,-1.462